model,graphs,nodes,unique_edges,sampled_non_edges,node_feature_mse,edge_feature_mse,aa_identity_accuracy_pct,aa_identity_misclassified_pct,chain_accuracy_pct,interface_node_accuracy_pct,interface_edge_accuracy_pct,rsasa_i_mae,rsasa_i_rmse,rsasa_i_bias,drsasa_mae,drsasa_rmse,drsasa_bias,ca_dist_mae_angstrom,ca_dist_rmse_angstrom,ca_dist_bias_angstrom,edge_recall_pct,edge_precision_pct,edge_specificity_pct,sampled_edge_accuracy_pct,edge_f1_pct,checkpoint,target_id,node_features,edge_features,mean_true_dockq,mean_predicted_dockq,dockq_mae,dockq_rmse
gate_with_rsasa_drsasa_20ep,1496,462264,2540495,2540495,0.02062938383539352,0.5184593360314086,74.20088953498434,25.799110465015662,100.0,98.44115051139607,99.99984255036912,0.04643376314687289,0.05637113023309956,-0.028429599842679256,,,,0.8149221565334709,1.0178633119567309,-0.12042558685018219,88.07130106534356,96.70858840152368,97.00255265214062,92.53692685874209,92.1880755453337,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1kac,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.32067713960332866,0.21025686668740076,0.2817603680516847,0.34168599806758204
gate_all_features,1501,891594,5346518,5346518,0.020643276731181926,0.5969939982150313,74.18230719363298,25.81769280636702,100.0,98.46522071705283,99.99968203604664,,,,,,,0.8419114627117915,1.09241925459518,-0.21594845138642907,85.50499596185779,94.47159501746516,94.9963134885172,90.2506547251875,89.76493338966132,checkpoints/gate_all_features/gate_model.pt,1mah,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.331912058360284,0.10081735573991944,0.25590428729466524,0.3607197184810963
gate_no_aa_identity,1501,891594,5346518,5346518,0.00047961272276041996,2.1171210196334207,,,100.0,99.998093302557,99.99597869117807,,,,,,,1.5576799871160012,2.0569548089260543,-0.5922665679938136,1.6677209353826172,96.05709668731484,99.9315442312174,50.79963258330002,3.278520953725477,checkpoints/gate_no_aa_identity/gate_model.pt,1mah,"chain,interface_nodes","interface_edges,ca_dist",0.331912058360284,0.1735959879900121,0.2703538745217308,0.3470295031135658
gate_with_rsasa_drsasa_20ep,1501,891594,5346518,5346518,0.021364858348618992,0.5799110976658663,70.83953010002311,29.160469899976892,100.0,98.92608070489483,99.99745628837312,0.057714627150664874,0.06865849201123723,0.05283962630560705,,,,0.83497520231494,1.0766081926741298,-0.18400890831382313,89.069633731711,94.55110342156087,94.86699567830877,91.96831470500987,91.72855181011336,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1mah,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.331912058360284,0.3421023864743314,0.2051462881691471,0.24535580113682093
gate_all_features,892,203376,1116424,1116424,0.022775859335740712,0.4217723654734387,69.43444654236488,30.56555345763512,100.0,97.62361340571158,99.99802942251331,,,,,,,0.7185870205015005,0.9178609628862029,-0.13001345802250217,88.3529913366248,96.19602106495026,96.50616611609925,92.42957872636202,92.10784826390964,checkpoints/gate_all_features/gate_model.pt,1mbv,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.3047679377513031,0.13629559666386099,0.25776504899266556,0.3541880923985574
gate_no_aa_identity,892,203376,1116424,1116424,0.0010070464535590767,1.3675705511176197,,,100.0,99.99704979938636,99.99256554857294,,,,,,,1.2231738819467475,1.6522696349987327,-0.44210726967789216,6.190479602731578,91.65683063008103,99.43650441051071,52.813492006621146,11.59765637126865,checkpoints/gate_no_aa_identity/gate_model.pt,1mbv,"chain,interface_nodes","interface_edges,ca_dist",0.3047679377513031,0.190904477185198,0.2246117839963497,0.2913845087051876
gate_with_rsasa_drsasa_20ep,892,203376,1116424,1116424,0.023533321646382145,0.42525729134094875,65.1187947447093,34.881205255290695,100.0,97.15059790732437,100.0,0.06147488322155583,0.075779769246331,-0.04724639071993182,,,,0.720735093362004,0.9218235302078311,-0.15259719453449058,89.52638065824455,96.29862290697372,96.55892384972017,93.04265225398237,92.78909733165919,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1mbv,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.3047679377513031,0.2943929027966453,0.22518017089031972,0.28301244725274627
gate_all_features,1388,229020,1224393,1224393,0.027580410111808947,0.472806299463644,63.56213431141386,36.43786568858614,100.0,90.42922015544494,99.99509961262439,,,,,,,0.764519173482241,0.9704736617879769,-0.10233699405462915,84.43653304127025,94.9482063956078,95.50748820027557,89.9720106207729,89.38438566958638,checkpoints/gate_all_features/gate_model.pt,1n1j,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.381852305307045,0.5924481168410792,0.25124658277776274,0.3079271382522335
gate_no_aa_identity,1388,229020,1224393,1224393,0.002925929223526337,1.3705555846369832,,,100.0,99.99912671382411,99.94666745072864,,,,,,,1.192587307114803,1.6511546028585602,-0.6113049401693449,11.988144329475912,89.78261135510074,98.63573215462682,55.311938242051376,21.15198803353895,checkpoints/gate_no_aa_identity/gate_model.pt,1n1j,"chain,interface_nodes","interface_edges,ca_dist",0.381852305307045,0.5707456236678344,0.29538964891540537,0.3305315813349284
gate_with_rsasa_drsasa_20ep,1388,229020,1224393,1224393,0.026720144568606233,0.4589291480121346,66.03091433062615,33.969085669373854,100.0,92.40764998690071,99.9930577845512,0.09672969446756072,0.11592701190440684,-0.08789648440360773,,,,0.7483785511274451,0.9558399399821523,-0.03332186883264142,87.96301514301372,94.62339989984272,95.0018498962343,91.48243251962401,91.17172880928366,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1n1j,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.381852305307045,0.5101587045937777,0.1292157510117029,0.17380845443158477
gate_all_features,1385,306085,1652382,1652382,0.020466746181849703,0.48546259219559035,76.043582664946,23.95641733505399,100.0,97.50461473120212,100.0,,,,,,,0.8011279857677621,0.9847223289710049,-0.16447872746399392,85.42080463234288,97.03107104998672,97.38631865997088,91.40356164615689,90.85653005682565,checkpoints/gate_all_features/gate_model.pt,1spp,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.3521523459602672,0.10227099229927958,0.3198825599497944,0.43326625918953166
gate_no_aa_identity,1385,306085,1652382,1652382,0.0011752453654362372,1.422236859457263,,,100.0,99.99934658673244,99.81759665743152,,,,,,,1.3262794835462106,1.684663522937685,-0.6218634092480713,8.255899664847474,89.4891171724328,99.0303089721384,53.64310431849294,15.117152697437533,checkpoints/gate_no_aa_identity/gate_model.pt,1spp,"chain,interface_nodes","interface_edges,ca_dist",0.3521523459602672,0.2565312882192729,0.2484909983224064,0.30653915956210526
gate_with_rsasa_drsasa_20ep,1385,306085,1652382,1652382,0.021334622607149262,0.4675030503268468,72.02182400313639,27.97817599686362,100.0,97.12106114314652,99.99134582681243,0.062021220344757697,0.0734602834185568,-0.05209081709975931,,,,0.7828615887646521,0.9662411630255934,-0.11296428304897624,89.74710448310378,97.10848249190308,97.3276760458538,93.53739026447879,93.28278876202076,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1spp,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.3521523459602672,0.2663246768261121,0.1936655338073573,0.24952278522540886
gate_all_features,1433,444230,2565058,2565058,0.021647763775248796,0.5482907222916749,75.08002611259933,24.91997388740067,100.0,97.72752853251694,99.99929826148181,,,,,,,0.8144587626649183,1.046663381159545,-0.17234008534552844,85.79770905765093,95.12423467678668,95.60228267742875,90.69999586753984,90.22058068434474,checkpoints/gate_all_features/gate_model.pt,1udi,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.3436071179522525,0.28160875776765737,0.1558438682660918,0.19284997727237616
gate_no_aa_identity,1433,444230,2565058,2565058,0.000911572390281601,1.7699242415590908,,,100.0,99.99774891385094,99.99695913308783,,,,,,,1.4311788653885031,1.8801237348318245,-0.6020250708967202,3.7282197907415737,93.41792925592709,99.7373158813563,51.73276783604893,7.17028057375141,checkpoints/gate_no_aa_identity/gate_model.pt,1udi,"chain,interface_nodes","interface_edges,ca_dist",0.3436071179522525,0.19720794290657737,0.2540225348580272,0.32159711436509886
gate_with_rsasa_drsasa_20ep,1433,444230,2565058,2565058,0.021565551259306166,0.5292496805909518,74.2547779303514,25.74522206964861,100.0,97.80496589604483,99.99980507263385,0.03461147399953695,0.044670968324979236,0.010816874522410978,,,,0.8021420521725137,1.0283064353864646,-0.0907044234359743,88.57749025558097,94.88848619958512,95.22845097459785,91.9029706150894,91.62444311590951,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1udi,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.3436071179522525,0.2945065618871561,0.17145092843785434,0.210107944152403
gate_all_features,1208,520648,2907942,2907942,0.024019851764179607,0.5728151880284611,68.42454018838063,31.575459811619368,100.0,94.07238671808976,99.99962172560527,,,,,,,0.8366887477762409,1.0695983784085414,-0.2251096861246448,86.44481217300758,96.75535196798538,97.10111137017175,91.77296177158966,91.30994250822512,checkpoints/gate_all_features/gate_model.pt,1ugq,"aa_type,chain,interface_nodes","interface_edges,ca_dist",0.3325273184389468,0.40783215557157204,0.11338489761094976,0.15397643721541582
gate_no_aa_identity,1208,520648,2907942,2907942,0.002022262053291925,1.825419073692731,,,100.0,99.98040902874878,99.96327299512852,,,,,,,1.4163702447355542,1.9079275663406061,-0.7406220992442448,13.353533186012651,85.9594014255988,97.81883545132605,55.58618431866935,23.116056817282114,checkpoints/gate_no_aa_identity/gate_model.pt,1ugq,"chain,interface_nodes","interface_edges,ca_dist",0.3325273184389468,0.484395002835239,0.22211132465016764,0.25071469807339586
gate_with_rsasa_drsasa_20ep,1208,520648,2907942,2907942,0.024565362450581888,0.5692324967144935,65.41060370922389,34.58939629077611,99.9988475899264,95.02869501083265,99.99662991902865,0.06171371783447629,0.0770192848395545,-0.025686689673517074,,,,0.8382562314926969,1.0658059382361766,-0.18736130795915307,87.87761241455297,96.20663288643993,96.53504093272836,92.20632667364067,91.85369647120099,checkpoints/gate_with_rsasa_drsasa_20ep/gate_model.pt,1ugq,"aa_type,chain,interface_nodes,rsasa_i","interface_edges,ca_dist",0.3325273184389468,0.5387668975918795,0.2067143933058081,0.26047546570247354
